No,Indonesia,Aceh,,Kamus
9591,Kita sudah membeli tanaman hias gantung.,geutanyoe ka bloe peunula hias gantung.,,
9592,Kita sudah membeli tanaman kaktus mini.,geutanyoe ka bloe peunula kaktus mini.,,
9593,Kita sudah membeli tanaman obat keluarga.,geutanyoe ka bloe peunula ubat keluarga.,,
9594,Kita sudah membeli tanaman rambat hias.,geutanyoe ka bloe peunula rambat hias.,,
9595,Kita sudah membeli tas kerja baru.,geutanyoe ka bloe tah keureuja baro.,,
9596,Kita sudah membeli tempat makan ayam baru.,geutanyoe ka bloe teumpat pajoh manok baro.,,
9597,Kita sudah membeli tempat makan ayam yang baru.,geutanyoe ka bloe teumpat pajoh manok nyang baro.,,
9598,Kita sudah membeli tempat makan ikan baru.,geutanyoe ka bloe teumpat pajoh eungkot baro.,,
9599,Kita sudah membeli tempat makan ikan plastik.,geutanyoe ka bloe teumpat pajoh eungkot peulaseutik.,,
9600,Kita sudah membeli tempat minum ayam anti tumpah.,geutanyoe ka bloe teumpat jep manok anti rho.,,
9601,Kita sudah membeli tempat pakan ikan.,geutanyoe ka bloe teumpat umpeuen eungkot.,,
9602,Kita sudah membeli tempat sampah baru.,geutanyoe ka bloe teumpat broh baro.,,
9603,Kita sudah membeli tempat tidur baru untuk anjing.,geutanyoe ka bloe teumpat eh baro keu ase.,,
9604,Kita sudah membeli tempat tidur baru.,geutanyoe ka bloe teumpat eh baro.,,
9605,Kita sudah membeli tempat tidur empuk untuk kucing.,geutanyoe ka bloe teumpat eh leupon keu miong.,,
9606,Kita sudah membeli tempat tidur kelinci.,geutanyoe ka bloe teumpat eh kelinci.,,
9607,Kita sudah membeli tiket konser musik.,geutanyoe ka bloe tiket konser musik.,,
9608,Kita sudah membeli tirai baru untuk kamar.,geutanyoe ka bloe tire baro keu kama.,,
9609,Kita sudah membeli tirai dapur baru.,geutanyoe ka bloe tire dapu baro.,,
9610,Kita sudah membeli tirai kamar baru.,geutanyoe ka bloe tire kama baro.,,
9611,Kita sudah membeli tirai kamar tidur baru.,geutanyoe ka bloe tire kama eh baro.,,
9612,Kita sudah membeli tirai ruang makan.,geutanyoe ka bloe tire ruang pajoh.,,
9613,Kita sudah membeli vas bunga baru.,geutanyoe ka bloe vas bungong baro.,,
9614,Kita sudah membeli vas bunga modern.,geutanyoe ka bloe vas bungong modern.,,
9615,Kita sudah membeli vitamin ayam organik.,geutanyoe ka bloe vitamin manok organik.,,
9616,Kita sudah membeli vitamin ayam tambahan.,geutanyoe ka bloe vitamin manok tambahan.,,
9617,Kita sudah membeli vitamin ayam terbaik.,geutanyoe ka bloe vitamin manok paleng_got.,,
9618,Kita sudah membeli vitamin ikan agar tetap sehat.,geutanyoe ka bloe vitamin eungkot mangat teutap sehat.,,
9619,Kita sudah membeli vitamin ikan berkualitas.,geutanyoe ka bloe vitamin eungkot meukualitas.,,
9620,Kita sudah membeli vitamin ikan hias.,geutanyoe ka bloe vitamin eungkot hias.,,
9621,Kita sudah membeli vitamin kambing berkualitas.,geutanyoe ka bloe vitamin kameng meukualitas.,,
9622,Kita sudah membeli vitamin kambing.,geutanyoe ka bloe vitamin kameng.,,
9623,Kita sudah membeli vitamin khusus ayam pedaging.,geutanyoe ka bloe vitamin khusus manok pedaging.,,
9624,Kita sudah membeli vitamin tambahan untuk ikan hias.,geutanyoe ka bloe vitamin tambahan keu eungkot hias.,,
9625,Kita sudah membeli vitamin tambahan untuk ikan.,geutanyoe ka bloe vitamin tambahan keu eungkot.,,
9626,Kita sudah membeli vitamin tambahan untuk kambing.,geutanyoe ka bloe vitamin tambahan keu kameng.,,
9627,Kita sudah membeli vitamin untuk ayam pedaging.,geutanyoe ka bloe vitamin keu manok pedaging.,,
9628,Kita sudah membeli vitamin untuk burung dara.,geutanyoe ka bloe vitamin keu cicem dara.,,
9629,Kita sudah membeli vitamin untuk ikan hias.,geutanyoe ka bloe vitamin keu eungkot hias.,,
9630,Kita sudah memberi makan ayam pagi ini.,geutanyoe ka bi pajoh manok beungoh nyoe.,,
9631,Kita sudah membersihkan dapur hingga rapi.,geutanyoe ka peugleh dapu sampoe rapi.,,
9632,Kita sudah membersihkan garasi bersama-sama.,geutanyoe ka peugleh garasi rame-rame.,,
9633,Kita sudah membersihkan jendela rumah.,geutanyoe ka peugleh tingkap rumoh.,,
9634,Kita sudah membersihkan loteng bersama-sama.,geutanyoe ka peugleh loteng rame-rame.,,
9635,Kita sudah membuat daftar buku yang ingin dibaca.,geutanyoe ka peugot daftar buku nyang neuk dibaca.,,
9636,Kita sudah membuat daftar tugas harian.,geutanyoe ka peugot daftar tugah harian.,,
9637,Kita sudah membuat jadwal bersih-bersih rumah.,geutanyoe ka peugot jadwal gleh-gleh rumoh.,,
9638,Kita sudah membuat jadwal kunjungan dokter hewan.,geutanyoe ka peugot jadwal kunjongan dokto hiweuen.,,
9639,Kita sudah membuat jadwal memberi makan anjing.,geutanyoe ka peugot jadwal bi pajoh ase.,,
9640,Kita sudah membuat jadwal membersihkan akuarium.,geutanyoe ka peugot jadwal peugleh akuarium.,,
9641,Kita sudah membuat kandang kelinci lebih bersih.,geutanyoe ka peugot weue kelinci leubeh gleh.,,
9642,Kita sudah membuat playlist lagu favorit.,geutanyoe ka peugot playlist lagu favorit.,,
9643,Kita sudah membuat rencana perjalanan jauh.,geutanyoe ka peugot reuncana perjalanan jioh.,,
9644,Kita sudah memesan karpet ruang_tamu.,geutanyoe ka peusan karpet seuramoe.,,
9645,Kita sudah memesan kursi baru untuk ruang_tamu.,geutanyoe ka peusan kurusi baro keu seuramoe.,,
9646,Kita sudah memesan meja makan baru.,geutanyoe ka peusan meja baro.,,
9647,Kita sudah memilih warna cat dinding.,geutanyoe ka pileh wareuna cat binteh.,,
9648,Kita sudah mempersiapkan acara kecil di rumah.,geutanyoe ka peusiap acara ubeut bak rumoh.,,
9649,Kita sudah mempersiapkan alat berkebun.,geutanyoe ka peusiap alat meulampoh.,,
9650,Kita sudah mempersiapkan dekorasi ruang keluarga.,geutanyoe ka peusiap dekorasi ruang keluarga.,,
9651,Kita sudah mempersiapkan hadiah spesial.,geutanyoe ka peusiap hadiyah spesial.,,
9652,Kita sudah mempersiapkan perlengkapan sekolah.,geutanyoe ka peusiap perlengkapan sikula.,,
9653,Kita sudah mempersiapkan semua dokumen penting.,geutanyoe ka peusiap mandum dokumen peunteng.,,
9654,Kita sudah mencatat semua pengeluaran.,geutanyoe ka catat mandum pengeluaran,,
9655,Kita sudah mengumpulkan ide kreatif.,geutanyoe ka peusapat ide kreatif.,,
9656,Kita sudah menonton film favorit bersama.,geutanyoe ka nonton film favorit sajan.,,
9657,Kita sudah menyiapkan bahan kerajinan tangan.,geutanyoe ka peusiap bahan kerajinan jaroe.,,
9658,Kita sudah menyiapkan bahan untuk memasak.,geutanyoe ka peusiap bahan keu maguen.,,
9659,Kita sudah menyiapkan buku resep keluarga.,geutanyoe ka peusiap buku resep keluarga.,,
9660,Kita sudah menyiapkan catatan belanja bulanan.,geutanyoe ka peusiap catatan belanja buleuenan.,,
9661,Kita sudah menyiapkan daftar pengeluaran bulan ini.,geutanyoe ka peusiap pengeluaran buleuen nyoe.,,
9662,Kita sudah menyiapkan hadiah ulang tahun teman.,geutanyoe ka peusiap hadiyah ulang thon ngon.,,
9663,Kita sudah menyiapkan hadiah untuk sahabat.,geutanyoe ka peusiap hadiyah keu sahabat.,,
9664,Kita sudah menyiapkan jadwal belajar anak.,geutanyoe ka peusiap jadwal meurunoe aneuk.,,
9665,Kita sudah menyiapkan kandang kelinci yang hangat.,geutanyoe ka peusiap weue kelinci nyang hangat.,,
9666,Kita sudah menyiapkan kandang sapi lebih bersih.,geutanyoe ka peusiap weue leumo leubeh gleh.,,
9667,Kita sudah menyiapkan kejutan ulang tahun.,geutanyoe ka peusiap kejutan ulang thon.,,
9668,Kita sudah menyiapkan obat cacing untuk kambing.,geutanyoe ka peusiap ubat glang keu kameng.,,
9669,Kita sudah menyiapkan perlengkapan camping.,geutanyoe ka peusiap perlengkapan camping.,,
9670,Kita sudah menyiapkan tempat minum untuk kucing.,geutanyoe ka peusiap teumpat jep keu miong.,,
9671,Kita sudah menyiapkan tempat tidur kucing empuk.,geutanyoe ka peusiap teumpat eh miong leupon.,,
9672,Kita sudah menyiapkan tempat tidur untuk kucing.,geutanyoe ka peusiap teumpat eh keu miong.,,
9673,Kita sudah menyiapkan undangan acara keluarga.,geutanyoe ka peusiap undangan acara keluarga.,,
9674,Kita sudah menyiapkan vitamin kucing.,geutanyoe ka peusiap vitamin miong.,,
9675,Kita sudah menyiapkan vitamin untuk ayam petelur.,geutanyoe ka peusiap vitamin keu manok petelur.,,
9676,Kita sudah merapikan koleksi foto lama.,geutanyoe ka peurapi koleksi foto trep.,,
9677,Kita sudah merapikan lemari pakaian.,geutanyoe ka peurapi leumari pakayan.,,
9678,Kita sudah merencanakan acara makan malam keluarga.,geutanyoe ka peureuncana acara pajoh malam keluarga.,,
9679,Kita sudah merencanakan acara piknik keluarga.,geutanyoe ka peureuncana acara piknik keluarga.,,
9680,Kita sudah merencanakan liburan akhir tahun.,geutanyoe ka peureuncana liburan akhe thon.,,
9681,Kita sudah merencanakan liburan bersama keluarga.,geutanyoe ka peureuncana liburan sajan keluarga.,,
9682,Kita tidak boleh membiarkan kandang ayam kotor begitu saja setiap hari.,geutanyoe han jeut peubiar keureupoh manok kuto meunan saja tiep uroe.,,
9683,Kucing itu tidur di kursi teras tanpa gangguan.,miong nyan eh bak kurusi teras tanpa gangguan.,,
9684,Langit sore ini tampak cerah dengan semburat jingga yang indah.,langet seupot nyoe deuh cerah ngon semburat jingga nyang indah.,,
9685,Mereka akan ikut lomba kebersihan lingkungan.,awaknyan akan ikot lumba kebersihan lingkongan.,,
9686,Mereka akan latihan vokal sore nanti.,awaknyan akan latihan vokal seupot eunteuk.,,
9687,Mereka akan mengadakan pameran lukisan bersama.,awaknyan akan peuna pameran lukisan sajan.,,
9688,Mereka akan pergi liburan minggu depan.,awaknyan akan jak liburan minggu keue.,,
9689,Mereka akan tampil di panggung besok.,awaknyan akan tampil bak panggong singoh.,,
9690,Mereka alergi bulu hewan.,awaknyan alergi bulee hiweuen.,,
9691,Mereka alergi bulu kucing.,awaknyan alergi bulee miong.,,
9692,Mereka baru pulang dari pasar.,awaknyan baro woe dari pasai,,
9693,Mereka baru saja pulang kerja.,awaknyan baro ban woe keureuja.,,
9694,Mereka baru saja pulang sekolah.,awaknyan baro ban woe sikula.,,
9695,Mereka batuk tak berhenti sejak kemarin.,awaknyan batok hana piyoh dari baroe.,,
9696,Mereka bawa batu bata naik turun tangga.,awaknyan ba batee bata ek tren rinyeun.,,
9697,Mereka bawa pasir pakai gerobak besi.,awaknyan ba anoe pakek geurubak beusoe.,,
9698,Mereka belajar membuat origami burung kertas.,awaknyan meurunoe peugot origami cicem keureutah.,1,
9699,Mereka belajar mengenal angka.,awaknyan meurunoe turi angka.,,
9700,Mereka belajar mengenal huruf hijaiyah.,awaknyan meurunoe huruh hijaiyah.,,
9701,Mereka belajar menulis kaligrafi di kelas seni.,awaknyan meurunoe tuleh kaligrafi bak glah seni.,,
9702,Mereka berbagi alat tulis saat belajar kelompok.,awaknyan meubagi alat tuleh wate meurunoe kelompok.,,
9703,Mereka berbagi pengalaman saat melakukan perjalanan jauh.,awaknyan meubagi pengalaman wate lakukan perjalanan jioh.,,
9704,Mereka berbagi tugas dengan adil dan rapi.,awaknyan meubagi tugah ngon ade dan rapi.,,
9705,Mereka berdiri di antrian panjang untuk membeli tiket konser.,awaknya meudong bak antrian panyang keu bloe tiket konser.,,
9706,Mereka berdiri di depan papan pengumuman dengan wajah cemas.,awaknya meudong di keue papeuen pengumuman ngon wajah cemas.,,
9707,Mereka berdiri di halte menunggu bus yang terlambat.,awaknya meudong bak halte preh bus nyang telat.,,
9708,Mereka berdiskusi panjang mengenai rencana bisnis baru.,awaknyan meudiskusi panyang mengenai reuncana bisnis baro.,,
9709,Mereka berdiskusi tentang lomba kreativitas antar kelas.,awaknyan meudiskusi teuntang lumba kreativitas antar glah.,,
9710,Mereka berdiskusi tentang proyek kelompok.,awaknyan meudiskusi teuntang proyek kelompok.,,
9711,Mereka berdiskusi tentang proyek kolaborasi.,awaknyan meudiskusi teuntang proyek kolaborasi.,,
9712,Mereka berencana liburan ke luar negeri.,awaknyan meureuncana liburan u luwa nanggroe.,,
9713,Mereka berencana naik kereta wisata.,awaknyan meureuncana ek kereta wisata.,,
9714,Mereka berfoto bersama di depan gedung sekolah.,awaknyan meufoto sajan di keue gedong sikula.,,
9715,Mereka berkumpul di aula untuk latihan drama.,awaknya meusapat bak aula keu latihan drama.,,
9716,Mereka berkumpul di rumah nenek saat liburan.,awaknyan meusapat bak rumoh nek wate liburan,,
9717,Mereka berlatih menari tradisional di balai desa.,awaknyan meulatih menari tradisional bak bale gampong.,,
9718,Mereka bermain bola basket sore hari.,awaknyan meuen bola basket sore uroe.,,
9719,Mereka bermain bola di halaman.,awaknyan meuen bola bak taman.,,
9720,Mereka bermain bola di lapangan.,awaknyan meuen bola bak lapangan.,,
9721,Mereka bermain bola voli di lapangan sekolah.,awaknyan meuen bola voli bak lapangan sikula.,,
9722,Mereka bermain bola voli sore hari.,awaknyan meuen bola voli seupot uroe.,,
9723,Mereka bermain catur di teras rumah.,awaknyan meuen cato bak teras rumoh.,,
9724,Mereka bermain congklak di teras rumah.,awaknyan meuen congklak bak teras rumoh.,,
9725,Mereka bermain gasing di halaman.,awaknyan meuen gaseng bak leun.,,
9726,Mereka bermain gitar bersama di teras rumah.,awaknyan meuen gitar sajan bak teras rumoh.,,
9727,Mereka bermain kartu di ruang keluarga.,awaknyan meuen keureutu bak ruang keluarga.,,
9728,Mereka bermain kelereng di halaman.,awaknyan meuen guli bak leun.,,
9729,Mereka bermain lompat tali bersama.,awaknyan meuen lumpat taloe sajan.,,
9730,Mereka bermain petak umpet sore hari.,awaknyan meuen petak umpet seupot uroe.,,
9731,Mereka bermain sepak bola di lapangan hijau.,awaknyan meuen sipak bola bak lapangan ijo.,,
9732,Mereka bernyanyi di ruang_tamu.,awaknyan meulagu bak seuramoe.,,
9733,Mereka berusaha memahami penjelasan guru dengan saksama.,awaknyan meuuseuha meuphom penjelasan gure ngon saksama.,,
9734,Mereka biasa angkat keramik berat.,awaknyan biyasa beuet keramik brat.,,
9735,Mereka biasa bekerja dari pagi sampai sore.,awaknyan biyasa meukeureuja dari beungoh sampe seupot.,,
9736,Mereka biasa beli pakan di pasar ternak.,awaknyan biyasa bloe pakan bak pasai ternak.,,
9737,Mereka biasa gotong royong membersihkan kebun.,awaknyan biyasa gotong royong peugleh lampoh.,,
9738,Mereka biasa naik perancah buat plester tembok.,awaknyan biyasa ek perancah keu plester binteh.,,
9739,Mereka biasa pasang bata di dinding rumah.,awaknyan biyasa pasang bata bak binteh rumoh.,,
9740,Mereka cerita pengalaman lucu tadi.,awaknyan calitra pengalaman lucu bunoe.,,
9741,Mereka duduk bersama kakek di teras.,awaknyan duek sajan yahnek bak teras.,,
9742,Mereka duduk santai bersama paman.,awaknyan duek santai sajan abuwa.,,
9743,Mereka duduk santai di ruang_tamu paman.,awaknyan duek santai bak seuramoe abuwa.,,
9744,Mereka kena cacar seminggu lalu.,awaknyan keunong cacar saboh minggu likot,1,
9745,Mereka kena infeksi ringan.,awaknyan keunong infeksi phui.,,
9746,Mereka kerja biar rumah cepat selesai.,awaknyan keureuja bah rumoh bagah lheueh.,,
9747,Mereka kerja cepat kalau proyek dikejar target.,awaknyan keureuja bagah meunyo proyek dilet target.,,
9748,Mereka khawatir soal kesehatan pankreas.,awaknyan khawatir soal kesehatan pankreas.,,
9749,Mereka khawatir tentang kondisi pankreas.,awaknyan khawatir teuntang kondisi pankreas.,,
9750,Mereka mau beli pakan baru.,awaknyan neuk bloe pakan baro.,,
9751,Mereka mau cari penginapan murah.,awaknyan neuk seutot penginapan murah.,,
9752,Mereka mau datang malam ini.,awaknyan neuk teuka malam nyoe.,,
9753,Mereka mau foto keluarga di landmark terkenal.,awaknyan neuk foto keluarga bak landmark meuceuhu.,,
9754,Mereka mau ikut lomba kebersihan RT.,awaknyan neuk ikot lumba kebersihan RT.,,
9755,Mereka mau ikut lomba memasak.,awaknyan neuk ikot lumba maguen.,,
9756,Mereka mau main banana boat di pantai.,awaknyan neuk meuen banana boat bak pante.,,
9757,Mereka mau memesan makanan.,awaknyan neuk peusan makanan.,,
9758,Mereka mau mengikuti lomba kebersihan.,awaknyan neuk ikot lumba kebersihan.,,
9759,Mereka mau menjual hasil ternak ke pasar.,awaknyan neuk publoe hase ternak u pasai.,,
9760,Mereka mau menjual ikan ke pasar pagi.,awaknyan neuk publoe eungkot u pasai beungoh.,,
9761,Mereka mau pergi ke kebun binatang.,awaknyan neuk jak u lampoh binatang.,,
9762,Mereka mau pergi piknik akhir pekan ini.,awaknyan neuk jak piknik akhe peukan nyoe.,,
9763,Mereka mau piknik kecil-kecilan.,awaknyan neuk piknik ubeut-ubeut.,,
9764,Mereka membantu bibi membereskan dapur.,awaknyan bantu miwa peubereh dapu.,,
9765,Mereka membantu bibi memotong bawang.,awaknyan bantu miwa koh bawang.,,
9766,Mereka membantu bibi memotong daun singkong segar.,awaknyan bantu miwa koh on ubi segar.,,
9767,Mereka membantu bibi memotong daun singkong.,awaknyan bantu miwa koh on ubi.,,
9768,Mereka membantu bibi memotong kentang goreng.,awaknyan bantu miwa koh kentang gureng.,,
9769,Mereka membantu bibi memotong kentang.,awaknyan bantu miwa koh kentang.,,
9770,Mereka membantu bibi memotong sayur.,awaknyan bantu miwa koh gule.,,
9771,Mereka membantu bibi memotong sayuran hijau segar.,awaknyan bantu miwa koh gule ijo segar.,,
9772,Mereka membantu bibi memotong sayuran hijau.,awaknyan bantu miwa koh gule ijo.,,
9773,Mereka membantu bibi memotong sayuran segar.,awaknyan bantu miwa koh gule segar.,,
9774,Mereka membantu bibi memotong sayuran untuk sup.,awaknyan bantu miwa koh gule keu sop.,,
9775,Mereka membantu bibi memotong wortel segar untuk sup.,awaknyan bantu miwa koh wortel segar keu sop.,,
9776,Mereka membantu bibi memotong wortel segar.,awaknyan bantu miwa koh wortel segar.,,
9777,Mereka membantu bibi memotong wortel untuk sayur sop.,awaknyan bantu miwa koh wortel keu gule sop.,,
9778,Mereka membantu bibi memotong wortel untuk sayur sup.,awaknyan bantu miwa koh wortel keu gule sop.,,
9779,Mereka membantu bibi memotong wortel untuk sayur.,awaknyan bantu miwa koh wortel keu gule.,,
9780,Mereka membantu bibi memotong wortel untuk sup.,awaknyan bantu miwa koh wortel keu sop.,,
9781,Mereka membantu bibi memotong wortel.,awaknyan bantu miwa koh wortel.,,
9782,Mereka membantu bibi mencuci peralatan makan.,awaknyan bantu miwa rhah peralatan pajoh.,,
9783,Mereka membantu bibi mencuci piring kotor.,awaknyan bantu miwa rhah pingan kuto.,,
9784,Mereka membantu bibi mencuci sayuran.,awaknyan bantu miwa rhah gule.,,
9785,Mereka membantu bibi mengepel lantai.,awaknyan bantu miwa pel aleue.,,
9786,Mereka membantu bibi mengupas kentang.,awaknyan bantu miwa pluek kentang.,,
9787,Mereka membantu bibi menyapu halaman belakang rumah.,awaknyan bantu miwa sampoh leun likot rumoh.,,
9788,Mereka membantu bibi menyapu halaman rumah.,awaknyan bantu miwa sampoh leun rumoh.,,
9789,Mereka membantu bibi menyapu lantai dapur.,awaknyan bantu miwa sampoh aleue dapu.,,
9790,Mereka membantu bibi menyapu lantai ruang makan.,awaknyan bantu miwa sampoh aleue ruang pajoh.,,
9791,Mereka membantu bibi menyapu lantai ruang_tamu.,awaknyan bantu miwa sampoh aleue seuramoe.,,
9792,Mereka membantu bibi menyapu lantai rumah sore hari.,awaknyan bantu miwa sampoh aleue rumoh seupot uroe.,,
9793,Mereka membantu bibi menyapu lantai rumah sore ini.,awaknyan bantu miwa sampoh aleue rumoh seupot nyoe.,,
9794,Mereka membantu bibi menyapu lantai rumah sore.,awaknyan bantu miwa sampoh aleue rumoh seupot.,,
9795,Mereka membantu bibi menyapu lantai rumah.,awaknyan bantu miwa sampoh aleue rumoh.,,
9796,Mereka membantu bibi menyiapkan lauk pauk.,awaknyan bantu miwa siap teumon bu.,,
9797,Mereka membantu bibi menyiapkan makan malam.,awaknyan bantu miwa siap pajoh malam.,,
9798,Mereka membantu bibi menyiapkan makan siang.,awaknyan bantu miwa siap pajoh cot_uroe.,,
9799,Mereka membantu bibi menyiapkan sarapan.,awaknyan bantu miwa siap sarapan.,,
9800,Mereka membantu bibi menyiapkan sayuran.,awaknyan bantu miwa siap gule.,,
9801,Mereka membantu bibi menyusun buku resep.,awaknyan bantu miwa suson buku resep.,,
9802,Mereka membantu bibi merapikan dapur.,awaknyan bantu miwa peurapi dapu.,,
9803,Mereka membantu bibi merapikan meja makan.,awaknyan bantu miwa peurapi meja pajoh.,,
9804,Mereka membantu bibi merapikan rak dapur.,awaknyan bantu miwa peurapi rak dapu.,,
9805,Mereka membantu bibi merapikan ruang makan.,awaknyan bantu miwa peurapi ruang pajoh.,,
9806,Mereka membantu guru merapikan aula.,awaknyan bantu gure peurapi aula.,,
9807,Mereka membantu menata kursi di aula.,awaknyan bantu tata kurusi bak aula.,,
9808,Mereka membantu mengecat dinding aula sekolah.,awaknyan bantu cat binteh aula sikula.,,
9809,Mereka membantu menyiapkan acara perpisahan.,awaknyan bantu peusiap acara perpisahan.,,
9810,Mereka membantu nenek memasak nasi uduk.,awaknyan bantu nek maguen bu uduk.,,
9811,Mereka membantu nenek memotong cabai.,awaknyan bantu nek koh campli.,,
9812,Mereka membantu nenek memotong sayur bayam.,awaknyan bantu nek koh gule bayam.,,
9813,Mereka membantu nenek memotong sayuran hijau.,awaknyan bantu nek koh gule ijo.,,
9814,Mereka membantu nenek memotong wortel segar.,awaknyan bantu nek koh wortel segar.,,
9815,Mereka membantu nenek memotong wortel untuk sayur.,awaknyan bantu nek koh wortel keu gule.,,
9816,Mereka membantu nenek memotong wortel.,awaknyan bantu nek koh wortel.,,
9817,Mereka membantu nenek menyapu halaman rumah.,awaknyan bantu nek sampoh leun rumoh.,,
9818,Mereka membantu nenek menyapu halaman.,awaknyan bantu nek sampoh leun.,,
9819,Mereka membantu nenek menyapu lantai dapur.,awaknyan bantu nek sampoh aleue dapu.,,
9820,Mereka membantu nenek menyapu lantai ruang_tamu.,awaknyan bantu nek sampoh aleue seuramoe.,,
9821,Mereka membantu nenek menyapu lantai rumah.,awaknyan bantu nek sampoh aleue rumoh.,,
9822,Mereka membantu nenek menyiapkan makan malam.,awaknyan bantu nek siap pajoh malam.,,
9823,Mereka membantu nenek menyiapkan makan siang.,awaknyan bantu nek siap pajoh cot_uroe.,,
9824,Mereka membantu nenek menyiapkan sarapan pagi.,awaknyan bantu nek siap sarapan beungoh.,,
9825,Mereka membantu nenek menyusun piring bersih.,awaknyan bantu nek suson pingan gleh.,,
9826,Mereka membantu nenek merapikan kursi tamu.,awaknyan bantu nek peurapi kurusi jamee.,,
9827,Mereka membantu nenek merapikan meja makan.,awaknyan bantu nek peurapi meja pajoh.,,
9828,Mereka membantu nenek merapikan ruang_tamu.,awaknyan bantu nek peurapi seuramoe.,,
9829,Mereka membantu paman membawa barang belanjaan.,awaknyan bantu abuwa ba barang belanjaan.,,
9830,Mereka membantu paman membersihkan garasi.,awaknyan bantu abuwa peugleh garasi.,,
9831,Mereka membantu paman memindahkan lemari.,awaknyan bantu abuwa peupinah leumari.,,
9832,Mereka membantu paman memindahkan meja.,awaknyan bantu abuwa peupinah meja.,,
9833,Mereka membantu paman mengepak barang.,awaknyan bantu abuwa peupak barang.,,
9834,Mereka membantu paman mengepel lantai rumah.,awaknyan bantu abuwa pel aleue rumoh.,,
9835,Mereka membantu paman menyiapkan tempat duduk.,awaknyan bantu abuwa siap teumpat duek.,,
9836,Mereka membantu paman merapikan garasi.,awaknyan bantu abuwa peurapi garasi.,,
9837,Mereka membantu paman merapikan halaman.,awaknyan bantu abuwa peurapi leun.,,
9838,Mereka membantu paman merapikan ruang kerja.,awaknyan bantu abuwa peurapi ruang keureuja.,,
9839,Mereka membawa bekal makan siang bersama-sama.,awaknyan ba bekal pajoh cot_uroe rame-rame.,,
9840,Mereka membawa bibit tanaman untuk ditanam di kebun komunitas.,awaknyan ba bibet peunula keu dipula bak lampoh komunitas.,,
9841,Mereka membawa peralatan lengkap untuk kemah.,awaknyan ba peralatan lengkap keu kemah.,,
9842,Mereka membawa peralatan seni untuk kegiatan kelas.,awaknyan ba peralatan seni keu kegiatan glah.,,
9843,Mereka membawa perlengkapan berkebun lengkap.,awaknyan ba perlengkapan meulampoh lengkap.,,
9844,Mereka membawa perlengkapan camping lengkap.,awaknyan ba perlengkapan camping lengkap.,,
9845,Mereka membawa perlengkapan pameran seni.,awaknyan ba perlengkapan pameran seni.,,
9846,Mereka membawa perlengkapan piknik lengkap.,awaknyan ba perlengkapan piknik lengkap.,,
9847,Mereka membersihkan aula setelah acara selesai.,awaknyan peugleh aula lheueh acara lheueh.,,
9848,Mereka membersihkan lantai rumah bersama bibi.,awaknyan peugleh aleue rumoh sajan miwa.,,
9849,Mereka membersihkan meja makan setelah makan.,awaknyan peugleh meja pajoh lheueh pajoh.,,
9850,Mereka membersihkan pekarangan rumah paman.,awaknyan peugleh perkarangan rumoh abuwa.,,
9851,Mereka membersihkan rak buku di ruang_tamu.,awaknyan peugleh rak buku bak seuramoe.,,
9852,Mereka membuat brosur promosi untuk kegiatan amal.,awaknyan peugot brosur promosi keu kegiatan amal.,,
9853,Mereka membuat brosur untuk promosi kegiatan.,awaknyan peugot brosur keu promosi kegiatan.,,
9854,Mereka membuat dekorasi kelas dengan balon warna-warni.,awaknyan peugot dekorasi glah ngon balon wareuna-wareuni.,,
9855,Mereka membuat dekorasi panggung dari kain warna.,awaknyan peugot dekorasi panggong dari ija wareuna.,,
9856,Mereka membuat dekorasi panggung dengan kertas warna.,awaknyan peugot dekorasi panggong ngon keureutah wareuna.,,
9857,Mereka membuat dekorasi ruangan dengan balon warna-warni.,awaknyan peugot dekorasi ruangan ngon balon wareuna-wareuni.,,
9858,Mereka membuat dekorasi untuk acara perpisahan.,awaknyan peugot dekorasi keu acara perpisahan.,,
9859,Mereka membuat hiasan dinding dari kain flanel.,awaknyan peugot hiasan binteh dari ija flanel.,,
9860,Mereka membuat hiasan dinding dari kertas bekas.,awaknyan peugot hiasan binteh dari keureutah bekas.,,
9861,Mereka membuat hiasan dinding dari kertas lipat.,awaknyan peugot hiasan binteh dari keureutah lipah.,,
9862,Mereka membuat hiasan pintu dari kain flanel.,awaknyan peugot hiasan pinto dari ija flanel.,,
9863,Mereka membuat hiasan ruangan dari kertas warna.,awaknyan peugot hiasan ruangan dari keureutah wareuna.,,
9864,Mereka membuat jadwal giliran jaga kebersihan.,awaknyan peugot jadwal giliran jaga kebersihan.,,
9865,Mereka membuat jadwal jaga perpustakaan bersama.,awaknyan peugot jadwal jaga perpustakaan sajan.,,
9866,Mereka membuat jadwal kebersihan lingkungan.,awaknyan peugot jadwal kebersihan lingkongan.,,
9867,Mereka membuat jadwal kerja kelompok secara bergantian.,awaknyan peugot jadwal keureuja kelompok secara meugantian.,,
9868,Mereka membuat jadwal latihan bersama.,awaknyan peugot jadwal latihan bersama.,,
9869,Mereka membuat jadwal piket bergantian setiap minggu.,awaknyan peugot jadwal piket meugantian tiep minggu.,,
9870,Mereka membuat jadwal piket bersama.,awaknyan peugot jadwal piket sajan.,,
9871,Mereka membuat jadwal piket dengan adil.,awaknyan peugot jadwal piket ngon ade.,,
9872,Mereka membuat jadwal piket dengan pembagian adil.,awaknyan peugot jadwal piket ngon pembagian ade.,,
